net,length_um
net6000,1.578685mm
_016587_,1.578mm
net6214,1.57767mm
_016259_,1.576955mm
net5929,1.57198mm
clknet_leaf_10_clk_i,1.57191mm
net1394,1.57146mm
iram_s_araddr\[8\],1.57054mm
data_axil_araddr\[19\],1.57031mm
_044752_,1.56897mm
_016363_,1.56792mm
net2041,1.566425mm
net1734,1.56619mm
_016354_,1.56568mm
u_npu.u_npu_axi_ctrl.rstate\[1\],1.56518mm
net366,1.56286mm
_015438_,1.56148mm
net1393,1.5609mm
_016596_,1.56062mm
net6359,1.55862mm
_035655_,1.55816mm
net1076,1.5579mm
net384,1.55631mm
s10_rdata\[27\],1.55599mm
net396,1.55563mm
net6157,1.55306mm
_015490_,1.55208mm
net2118,1.55191mm
net5171,1.54992mm
_016419_,1.54956mm
_016272_,1.54808mm
_046683_,1.54713mm
_012303_,1.54466mm
net1112,1.54423mm
net1787,1.54421mm
net1597,1.54391mm
net1932,1.54298mm
_015280_,1.54132mm
net1399,1.54053mm
jtag_tck,1.53963mm
net1114,1.5386mm
net1780,1.53787mm
net2121,1.537785mm
_027823_,1.536635mm
net5851,1.53558mm
s9_rdata\[0\],1.534695mm
_016430_,1.5345mm
_016381_,1.5339mm
net373,1.53038mm
_014429_,1.529515mm
u_npu.u_npu_engine.rq_scaled\[5\],1.52945mm
net408,1.52908mm
net1074,1.52763mm
net1793,1.52424mm
net361,1.52371mm
net1077,1.52366mm
net360,1.52301mm
net45,1.5225mm
net1766,1.52204mm
net5925,1.52051mm
net372,1.52044mm
net379,1.51869mm
merged_m_araddr\[11\],1.518355mm
net5924,1.517845mm
net385,1.51723mm
net1691,1.517085mm
_027416_,1.51656mm
net378,1.51454mm
_015281_,1.51251mm
net1222,1.51209mm
data_axil_araddr\[11\],1.50782mm
net794,1.50767mm
u_npu.u_npu_sram.sel_a_q\[0\],1.5067mm
net402,1.5066mm
net1812,1.50499mm
net1785,1.50367mm
_016398_,1.5026mm
net5914,1.50043mm
net5921,1.49962mm
net6360,1.49955mm
_034314_,1.49952mm
net390,1.49946mm
s8_rdata\[16\],1.49904mm
net367,1.4989mm
net5917,1.49665mm
s8_rvalid,1.494295mm
net1075,1.49402mm
net397,1.49341mm
net5918,1.49069mm
_016457_,1.48604mm
u_uart2.rx_data_w\[0\],1.485025mm
net414,1.48486mm
net420,1.4843mm
net1825,1.48306mm
u_npu.u_npu_engine.mac_kh_q\[2\],1.48212mm
_028167_,1.48179mm
data_axil_araddr\[30\],1.48168mm
_048472_,1.4813mm
net1820,1.4812mm
net1873,1.48066mm
s9_rdata\[5\],1.479735mm
net1798,1.47924mm
u_qspi.ar_valid_lat,1.47916mm
net6198,1.47893mm
net1804,1.47892mm
_044684_,1.47848mm
_016452_,1.47816mm
net409,1.47803mm
net391,1.47793mm
net1778,1.47763mm
net1855,1.4772mm
net5879,1.47708mm
data_axil_araddr\[22\],1.47684mm
net1834,1.47672mm
net5714,1.4758mm
net1857,1.4757mm
_045190_,1.47567mm
_016245_,1.474035mm
net7008,1.473615mm
net1765,1.47359mm
data_axil_araddr\[5\],1.47321mm
