net,length_um
net3057,1.20573mm
_032009_,1.20564mm
_071306_,1.2054mm
u_npu.tcm_wdata_a\[5\],1.20497mm
_021426_,1.2047mm
u_npu.tcm_wdata_a\[2\],1.20432mm
net1972,1.20392mm
_032294_,1.20364mm
_033882_,1.20362mm
net2798,1.203595mm
s10_rdata\[7\],1.20312mm
net2415,1.20298mm
data_axil_wdata\[26\],1.20286mm
_033729_,1.20267mm
net3069,1.20266mm
_034228_,1.20234mm
_033777_,1.20223mm
u_npu.tcm_wdata_a\[14\],1.20218mm
net2406,1.20184mm
u_npu.tcm_wdata_a\[4\],1.20158mm
u_npu.tcm_wdata_a\[7\],1.20056mm
_033783_,1.19984mm
u_npu.tcm_wdata_a\[10\],1.19896mm
u_npu.tcm_wdata_a\[23\],1.19722mm
u_npu.tcm_wdata_a\[13\],1.19706mm
net3825,1.19699mm
_031883_,1.19679mm
s9_rdata\[0\],1.19639mm
net590,1.19639mm
u_npu.tcm_wdata_a\[24\],1.1961mm
net294,1.19587mm
u_npu.tcm_wdata_a\[15\],1.19581mm
net2358,1.19531mm
net2371,1.19494mm
_032305_,1.19458mm
net2820,1.19406mm
_033684_,1.19372mm
net7945,1.19372mm
net2377,1.193405mm
net2412,1.19258mm
net578,1.1924mm
net7943,1.19217mm
net6135,1.19138mm
net7910,1.19091mm
_033955_,1.18998mm
net6078,1.1899mm
net302,1.18939mm
_033844_,1.18915mm
net3092,1.18904mm
_034607_,1.18841mm
net1973,1.188175mm
net7889,1.18701mm
net7897,1.18693mm
_031994_,1.18572mm
_031959_,1.18558mm
_071285_,1.18474mm
net6186,1.18304mm
u_npu.tcm_wdata_a\[26\],1.18296mm
net3592,1.182715mm
_033897_,1.18021mm
_071314_,1.17884mm
net7891,1.17794mm
net8282,1.17662mm
net286,1.17606mm
net7900,1.1755mm
data_axil_wdata\[24\],1.17538mm
net3640,1.17516mm
_071223_,1.17497mm
_033948_,1.17464mm
net3534,1.17341mm
net2527,1.17278mm
net862,1.17204mm
_071310_,1.17198mm
net3127,1.17152mm
net7903,1.1714mm
net2372,1.170665mm
